FileName,Model, Member,ScoreDistance,OrthogonalDistance,AlphaLevel,ThresholdSd,ThresholdOD
"TestSpectrum-Actrapid-4.csv","Actrapid",TRUE,1.12382397921638,1.43062019970319,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-Actrapid-4.csv","Actrapid",TRUE,1.12382397921638,1.43062019970319,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-Actrapid-4.csv","Mixtard 40",FALSE,9.76632746960042,7.76626595142878,9.99999999995449e-06,4.79852591218903,1.77349513514279
"TestSpectrum-Actrapid-4.csv","NovoRapid",FALSE,2.16941021691892,7.35837908823002,9.99999999995449e-06,4.79852591218903,1.80814062498326
"TestSpectrum-Actrapid-4.csv","Tresiba",FALSE,1.06921763628907,7.12539951735585,9.99999999995449e-06,4.79852591218903,3.69209687825612
"TestSpectrum-Actrapid-4.csv",2021-03-21 15:13:40,"Actrapid",TRUE,1.12382397921638,1.43062019970319,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-Actrapid-4.csv",2021-03-21 15:13:43,"Actrapid",TRUE,1.12382397921638,1.43062019970319,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-Actrapid-4.csv",2021-03-21 15:13:43,"Mixtard 40",FALSE,9.76632746960042,7.76626595142878,9.99999999995449e-06,4.79852591218903,1.77349513514279
"TestSpectrum-Actrapid-4.csv",2021-03-21 15:13:43,"NovoRapid",FALSE,2.16941021691892,7.35837908823002,9.99999999995449e-06,4.79852591218903,1.80814062498326
"TestSpectrum-Actrapid-4.csv",2021-03-21 15:13:43,"Tresiba",FALSE,1.06921763628907,7.12539951735585,9.99999999995449e-06,4.79852591218903,3.69209687825612
"TestSpectrum-Actrapid-9.csv",2021-03-21 15:13:49,"Actrapid",TRUE,1.0690807324183,1.25282755554869,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-Actrapid-9.csv",2021-03-21 15:13:49,"Mixtard 40",FALSE,9.71721347391818,7.9278736845093,9.99999999995449e-06,4.79852591218903,1.77349513514279
"TestSpectrum-Actrapid-9.csv",2021-03-21 15:13:49,"NovoRapid",FALSE,2.52465512975957,7.3700234148346,9.99999999995449e-06,4.79852591218903,1.80814062498326
"TestSpectrum-Actrapid-9.csv",2021-03-21 15:13:49,"Tresiba",FALSE,1.05995877814107,7.17157543846061,9.99999999995449e-06,4.79852591218903,3.69209687825612
"TestSpectrum-NovoRapid-12.csv",2021-03-21 15:13:54,"Actrapid",FALSE,1.15118026051698,7.27100502296577,9.99999999995449e-06,4.79852591218903,1.90133369426165
"TestSpectrum-NovoRapid-12.csv",2021-03-21 15:13:54,"Mixtard 40",FALSE,9.24840596885992,7.11454611674578,9.99999999995449e-06,4.79852591218903,1.77349513514279
"TestSpectrum-NovoRapid-12.csv",2021-03-21 15:13:54,"NovoRapid",TRUE,1.96571235607676,1.24567166852102,9.99999999995449e-06,4.79852591218903,1.80814062498326
"TestSpectrum-NovoRapid-12.csv",2021-03-21 15:13:54,"Tresiba",FALSE,1.02491239650185,4.60289148161195,9.99999999995449e-06,4.79852591218903,3.69209687825612
