Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9387.87
2,231.77,9998.77
3,233.85,10488.93
4,235.94,10855.9
5,238.02,11083.5
6,240.1,11266.87
7,242.18,11349.27
8,244.26,11363.8
9,246.34,11327.33
10,248.42,11292
11,250.5,11198.63
12,252.58,11101.5
13,254.66,10976.27
14,256.73,10863.57
15,258.8,10738.5
16,260.88,10654.23
17,262.95,10550.1
18,265.02,10495.77
19,267.09,10401.77
20,269.16,10304.77
21,271.23,10204.23
22,273.3,10115.03
23,275.37,10067.4
24,277.43,9955.1
25,279.5,9860.2
26,281.56,9782.03
27,283.63,9666
28,285.69,9558.1
29,287.75,9472.77
30,289.81,9387.9
31,291.87,9306.3
32,293.93,9214.1
33,295.99,9135.83
34,298.05,9063.63
35,300.1,8968.1
36,302.16,8917.87
37,304.21,8878.07
38,306.26,8828.6
39,308.32,8820.6
40,310.37,8756.93
41,312.42,8749.5
42,314.47,8701.07
43,316.52,8699.23
44,318.57,8692.6
45,320.61,8733.2
46,322.66,8732.47
47,324.7,8701.83
48,326.75,8717.17
49,328.79,8740.97
50,330.83,8731.13
51,332.88,8765.43
52,334.92,8800.17
53,336.96,8830.1
54,338.99,8815.1
55,341.03,8804.07
56,343.07,8853.2
57,345.11,8887.2
58,347.14,8928.5
59,349.17,8966.97
60,351.21,8976.03
61,353.24,8968.07
62,355.27,9015.53
63,357.3,9059.53
64,359.33,9066.7
65,361.36,9108.8
66,363.39,9138.73
67,365.41,9184.13
68,367.44,9186.9
69,369.47,9237.3
70,371.49,9265.2
71,373.51,9302.4
72,375.54,9428.8
73,377.56,9441.23
74,379.58,9497.43
75,381.6,9519.27
76,383.61,9569.17
77,385.63,9645.53
78,387.65,9691.03
79,389.66,9760.03
80,391.68,9791.73
81,393.69,9842.47
82,395.71,9879.4
83,397.72,9961.9
84,399.73,10002.67
85,401.74,10063.67
86,403.75,10160.3
87,405.76,10227.67
88,407.77,10266.47
89,409.77,10376.23
90,411.78,10445.8
91,413.78,10514.93
92,415.79,10588.63
93,417.79,10625.87
94,419.79,10643.5
95,421.79,10668.67
96,423.79,10747.83
97,425.79,10797.33
98,427.79,10838.53
99,429.79,10874.83
100,431.78,10913.73
101,433.78,10919.6
102,435.77,10966.7
103,437.77,11021.4
104,439.76,11094.3
105,441.75,11166.6
106,443.74,11215.27
107,445.73,11237.27
108,447.72,11265.7
109,449.71,11330.77
110,451.7,11392.03
111,453.68,11454.7
112,455.67,11502.53
113,457.65,11531.73
114,459.64,11592.97
115,461.62,11653.07
116,463.6,11670.2
117,465.58,11710.7
118,467.56,11772.63
119,469.54,11831.8
120,471.52,11864.7
121,473.49,11907
122,475.47,12015.7
123,477.44,12040.03
124,479.42,12060.43
125,481.39,12090.27
126,483.36,12129.87
127,485.34,12138.03
128,487.31,12080.93
129,489.28,12094.03
130,491.24,12103.43
131,493.21,12073.9
132,495.18,12034.77
133,497.14,11979.5
134,499.11,11938.03
135,501.07,11917.67
136,503.04,11850.27
137,505,11826.33
138,506.96,11847.97
139,508.92,11841.43
140,510.88,11840.27
141,512.84,11821.57
142,514.79,11889.97
143,516.75,11921.67
144,518.71,11977.8
145,520.66,12011.73
146,522.62,12028.47
147,524.57,12010.53
148,526.52,12053.1
149,528.47,12064.93
150,530.42,12083.77
151,532.37,12184.43
152,534.32,12236.27
153,536.27,12265.87
154,538.21,12297.97
155,540.16,12325
156,542.1,12352.3
157,544.04,12334.87
158,545.99,12337.47
159,547.93,12319.4
160,549.87,12315.87
161,551.81,12273.7
162,553.75,12255
163,555.69,12279.8
164,557.62,12297.23
165,559.56,12326.2
166,561.49,12301.77
167,563.43,12362.3
168,565.36,12383.73
169,567.29,12408.2
170,569.23,12430.07
171,571.16,12487
172,573.09,12514.57
173,575.01,12529.7
174,576.94,12555.97
175,578.87,12587.3
176,580.79,12667.03
177,582.72,12713.97
178,584.64,12807.47
179,586.57,12883.03
180,588.49,12959.2
181,590.41,13050.93
182,592.33,13141.77
183,594.25,13293.67
184,596.17,13415.7
185,598.08,13565.5
186,600,13708.33
187,601.92,13885.83
188,603.83,14045.13
189,605.74,14247.8
190,607.66,14431.07
191,609.57,14675.27
192,611.48,14917.73
193,613.39,15074.3
194,615.3,15311.93
195,617.21,15538.37
196,619.11,15751.53
197,621.02,15990.9
198,622.92,16254.63
199,624.83,16444.57
200,626.73,16591
201,628.63,16823.37
202,630.53,17032.57
203,632.44,17227.93
204,634.33,17444.13
205,636.23,17652.07
206,638.13,17890.43
207,640.03,18007.43
208,641.92,18421.07
209,643.82,18587.83
210,645.71,18801.3
211,647.61,19014.93
212,649.5,19256.73
213,651.39,19457.7
214,653.28,19704.93
215,655.17,19919.03
216,657.06,20140.8
217,658.94,20378.7
218,660.83,20618.97
219,662.72,20798.47
220,664.6,21002.63
221,666.48,21205.4
222,668.37,21353.33
223,670.25,21570.07
224,672.13,21705.23
225,674.01,21841.33
226,675.89,21978.97
227,677.77,22050.27
228,679.64,22193.97
229,681.52,22275.43
230,683.39,22313.83
231,685.27,22434.77
232,687.14,22476.47
233,689.01,22540.17
234,690.88,22589.83
235,692.76,22664.4
236,694.62,22667.77
237,696.49,22705.1
238,698.36,22726.07
239,700.23,22723.5
240,702.09,22743.5
241,703.96,22688
242,705.82,22676.57
243,707.68,22663.4
244,709.55,22599.6
245,711.41,22495.23
246,713.27,22394.63
247,715.13,22314.93
248,716.99,22203.13
249,718.84,22121.3
250,720.7,22029.93
251,722.55,21955.07
252,724.41,21852.57
253,726.26,21841.13
254,728.11,21797.7
255,729.97,21805.27
256,731.82,21789.47
257,733.67,21789.73
258,735.52,21782.83
259,737.36,21725.9
260,739.21,21631.47
261,741.06,21507.53
262,742.9,21364.7
263,744.75,21258.07
264,746.59,21185.67
265,748.43,21121.5
266,750.27,21081.57
267,752.11,21026.1
268,753.95,20937.47
269,755.79,20915
270,757.63,20854.87
271,759.46,20800.1
