Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9367.5
2,231.77,9966.23
3,233.85,10488.7
4,235.94,10828.17
5,238.02,11075.67
6,240.1,11252.47
7,242.18,11332.13
8,244.26,11351.87
9,246.34,11316.87
10,248.42,11274
11,250.5,11173.1
12,252.58,11057.4
13,254.66,10953.3
14,256.73,10828.13
15,258.8,10735.57
16,260.88,10637.87
17,262.95,10510
18,265.02,10470.87
19,267.09,10366.3
20,269.16,10281.47
21,271.23,10182.97
22,273.3,10082.97
23,275.37,10042.8
24,277.43,9910.83
25,279.5,9813.37
26,281.56,9757
27,283.63,9616.53
28,285.69,9534.53
29,287.75,9440.17
30,289.81,9367.87
31,291.87,9264.93
32,293.93,9157.67
33,295.99,9089.23
34,298.05,9025.37
35,300.1,8926.17
36,302.16,8865.93
37,304.21,8838.43
38,306.26,8783.57
39,308.32,8772.43
40,310.37,8712.33
41,312.42,8703.1
42,314.47,8675.87
43,316.52,8660.43
44,318.57,8644.7
45,320.61,8699.33
46,322.66,8699.33
47,324.7,8666.97
48,326.75,8679.1
49,328.79,8700.17
50,330.83,8664.33
51,332.88,8698.03
52,334.92,8750.53
53,336.96,8771.07
54,338.99,8773.2
55,341.03,8749.17
56,343.07,8795.77
57,345.11,8839.73
58,347.14,8851.37
59,349.17,8911.3
60,351.21,8915.97
61,353.24,8898.7
62,355.27,8954.83
63,357.3,8997.07
64,359.33,9001.73
65,361.36,9030.2
66,363.39,9085.2
67,365.41,9126.4
68,367.44,9119.1
69,369.47,9163.2
70,371.49,9194.1
71,373.51,9229.5
72,375.54,9362.3
73,377.56,9381.53
74,379.58,9430.3
75,381.6,9442.13
76,383.61,9502.43
77,385.63,9575.33
78,387.65,9603.83
79,389.66,9686.67
80,391.68,9704.77
81,393.69,9758.53
82,395.71,9785.83
83,397.72,9884.23
84,399.73,9909.6
85,401.74,9958.87
86,403.75,10053.2
87,405.76,10137.47
88,407.77,10168.13
89,409.77,10263.13
90,411.78,10345.4
91,413.78,10416.4
92,415.79,10482.03
93,417.79,10516.3
94,419.79,10542.87
95,421.79,10569.23
96,423.79,10653.83
97,425.79,10669.2
98,427.79,10739.37
99,429.79,10761.23
100,431.78,10784.97
101,433.78,10790.8
102,435.77,10842.2
103,437.77,10896.33
104,439.76,10964.23
