Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9546.43
2,231.77,10169.2
3,233.85,10700.47
4,235.94,11076.47
5,238.02,11324.37
6,240.1,11516.27
7,242.18,11606.53
8,244.26,11598.13
9,246.34,11571.93
10,248.42,11526.17
11,250.5,11442.6
12,252.58,11313.8
13,254.66,11206.9
14,256.73,11050.7
15,258.8,10953.93
16,260.88,10848.93
17,262.95,10731.47
18,265.02,10680.23
19,267.09,10574.87
20,269.16,10476.6
21,271.23,10371.5
22,273.3,10256.3
23,275.37,10221.8
24,277.43,10087.6
25,279.5,9996
26,281.56,9918.4
27,283.63,9790.83
28,285.69,9700.07
29,287.75,9585.7
30,289.81,9508.17
31,291.87,9401.93
32,293.93,9334.97
33,295.99,9229.17
34,298.05,9151.97
35,300.1,9067.9
36,302.16,8998.6
37,304.21,8959.57
38,306.26,8907.5
39,308.32,8893.13
40,310.37,8822.87
41,312.42,8830.77
42,314.47,8785.17
43,316.52,8771.5
44,318.57,8747.3
45,320.61,8806.27
46,322.66,8803.07
47,324.7,8776.63
48,326.75,8783.07
49,328.79,8794.6
50,330.83,8790.13
51,332.88,8808
52,334.92,8845.4
53,336.96,8854.67
54,338.99,8848.33
55,341.03,8831.07
56,343.07,8869.3
57,345.11,8908.67
58,347.14,8935.47
59,349.17,8969.3
60,351.21,8965.2
61,353.24,8954.93
62,355.27,9003.33
63,357.3,9044.83
64,359.33,9052.4
65,361.36,9081.93
66,363.39,9120.67
67,365.41,9151.07
68,367.44,9143.83
69,369.47,9192.27
70,371.49,9232.6
71,373.51,9265.27
72,375.54,9395.17
73,377.56,9398.13
74,379.58,9451.6
75,381.6,9469.53
76,383.61,9533.43
77,385.63,9587.17
78,387.65,9633.27
79,389.66,9708.5
80,391.68,9742.4
81,393.69,9774.07
82,395.71,9822
83,397.72,9898.17
84,399.73,9942.67
85,401.74,10030.27
86,403.75,10101.97
87,405.76,10192.03
88,407.77,10249.83
89,409.77,10348.07
90,411.78,10399.27
91,413.78,10484.8
92,415.79,10564.57
93,417.79,10604.4
94,419.79,10630.73
95,421.79,10645.47
96,423.79,10718.5
97,425.79,10755.4
98,427.79,10799
99,429.79,10817.3
100,431.78,10851.7
101,433.78,10846.2
102,435.77,10900.9
103,437.77,10955.83
104,439.76,11027.23
105,441.75,11090.77
106,443.74,11131.73
107,445.73,11134.7
108,447.72,11149.6
109,449.71,11232.97
110,451.7,11281.73
111,453.68,11347.27
112,455.67,11401.6
113,457.65,11412.47
114,459.64,11492.83
115,461.62,11542.07
116,463.6,11561.87
117,465.58,11584.57
118,467.56,11653.17
119,469.54,11722.43
120,471.52,11773.47
121,473.49,11808.07
122,475.47,11896.53
123,477.44,11944.77
124,479.42,11962.33
125,481.39,11988.77
126,483.36,12038.9
127,485.34,12055.6
128,487.31,11989
129,489.28,12010
130,491.24,12008.57
131,493.21,11991.23
132,495.18,11936.93
133,497.14,11863.67
134,499.11,11809.97
135,501.07,11784.87
136,503.04,11736.63
137,505,11687.8
138,506.96,11708.73
139,508.92,11715.57
140,510.88,11707.43
141,512.84,11707.5
142,514.79,11770.63
143,516.75,11807.5
144,518.71,11860.43
145,520.66,11881.4
146,522.62,11904.53
147,524.57,11866.53
148,526.52,11915.3
149,528.47,11905.9
150,530.42,11953.17
151,532.37,12056.33
152,534.32,12089.87
153,536.27,12101.83
154,538.21,12132.23
155,540.16,12134.57
156,542.1,12149.53
157,544.04,12135.73
158,545.99,12134.73
159,547.93,12098.53
160,549.87,12052.87
161,551.81,12024.23
162,553.75,12013.33
163,555.69,12009.9
164,557.62,12049.3
165,559.56,12060.1
166,561.49,12055.63
167,563.43,12085.33
168,565.36,12100.43
169,567.29,12137.97
170,569.23,12156.63
171,571.16,12195.93
172,573.09,12237.23
173,575.01,12228.67
174,576.94,12253.5
175,578.87,12277.63
176,580.79,12357.17
177,582.72,12416.57
178,584.64,12503.67
179,586.57,12551.67
180,588.49,12639.5
181,590.41,12719.23
182,592.33,12807.7
183,594.25,12968.13
184,596.17,13069
185,598.08,13223.17
186,600,13345.5
187,601.92,13521.8
188,603.83,13691.1
189,605.74,13894.77
190,607.66,14070.27
191,609.57,14306.43
192,611.48,14537
193,613.39,14706.37
194,615.3,14940.13
195,617.21,15174.2
196,619.11,15403
197,621.02,15636.1
198,622.92,15867.47
199,624.83,16041.23
200,626.73,16164.07
201,628.63,16383.23
202,630.53,16567.37
203,632.44,16749
204,634.33,16932.93
205,636.23,17141.8
206,638.13,17354.6
207,640.03,17541
208,641.92,17891.7
209,643.82,18038.03
210,645.71,18233.87
211,647.61,18434.53
212,649.5,18626.53
213,651.39,18801.87
214,653.28,19024.47
215,655.17,19223.57
216,657.06,19406.17
217,658.94,19600.1
218,660.83,19848.3
219,662.72,20004.67
220,664.6,20190.03
221,666.48,20362.47
222,668.37,20509.33
223,670.25,20676.23
224,672.13,20797.17
225,674.01,20923.5
226,675.89,21000.6
227,677.77,21073.7
228,679.64,21166.47
229,681.52,21244.13
230,683.39,21261.57
231,685.27,21338.4
232,687.14,21347.13
233,689.01,21370.97
234,690.88,21406.8
235,692.76,21475.93
236,694.62,21462.17
237,696.49,21483.33
238,698.36,21496.17
239,700.23,21474.5
240,702.09,21473.8
241,703.96,21411.6
242,705.82,21400.37
243,707.68,21351.23
244,709.55,21280.33
245,711.41,21179.23
246,713.27,21076.77
247,715.13,20986.83
248,716.99,20880.37
249,718.84,20800.77
250,720.7,20701.53
251,722.55,20648.07
252,724.41,20559.83
253,726.26,20555.3
254,728.11,20505.53
255,729.97,20506.9
256,731.82,20537.63
257,733.67,20582.33
258,735.52,20587.57
259,737.36,20505.73
260,739.21,20403.17
261,741.06,20270.83
262,742.9,20135.93
263,744.75,20000.8
264,746.59,19948.1
265,748.43,19866.53
266,750.27,19788.7
267,752.11,19759.37
268,753.95,19691.23
269,755.79,19647.8
270,757.63,19578.13
271,759.46,19536.2
272,761.3,19448.1
273,763.13,19416.03
274,764.97,19367.17
275,766.8,19324.8
276,768.63,19273.33
277,770.46,19296.87
278,772.29,19249.37
279,774.12,19230.3
280,775.95,19183.6
281,777.78,19176.5
282,779.6,19189.47
283,781.43,19186.27
284,783.25,19169.7
285,785.08,19184.8
286,786.9,19143.53
287,788.72,19134.43
288,790.54,19097.83
289,792.36,19072
290,794.18,19052.83
291,796,19039.07
292,797.81,18979.83
293,799.63,18963.17
294,801.44,18919.47
295,803.26,18938.13
296,805.07,18950.6
297,806.88,18987.93
298,808.69,19055.07
299,810.5,19071.13
300,812.31,19124.03
301,814.12,19159.63
302,815.93,19219.27
303,817.74,19233.2
304,819.54,19211.83
305,821.35,19134.3
306,823.15,19077.53
307,824.95,19028
308,826.75,19037.37
309,828.55,18983.8
310,830.35,18963.07
311,832.15,18950.53
312,833.95,18939.57
313,835.75,18914.03
314,837.54,18932
315,839.34,18965.47
316,841.13,19017.6
317,842.92,19062.67
318,844.72,19105.73
319,846.51,19148.6
320,848.3,19167.07
321,850.09,19135.67
322,851.88,19146.53
323,853.66,19127.57
324,855.45,19041.8
325,857.24,18954.17
326,859.02,18805.03
327,860.8,18698.8
328,862.59,18631.43
329,864.37,18511.5
330,866.15,18432.6
331,867.93,18314.4
332,869.71,18172.93
333,871.49,18037.77
334,873.26,17947.1
335,875.04,17845.9
336,876.81,17719.37
337,878.59,17655.63
338,880.36,17549.47
339,882.13,17421.63
340,883.9,17329.57
341,885.68,17287.6
342,887.44,17204.7
343,889.21,17159.47
344,890.98,17110
345,892.75,17022.47
346,894.51,16942.57
347,896.28,16883.43
348,898.04,16831.77
349,899.8,16769.4
350,901.57,16741.53
351,903.33,16658.47
352,905.09,16596.97
353,906.85,16592.87
354,908.6,16574.2
355,910.36,16541.23
356,912.12,16511.1
357,913.87,16516.53
358,915.63,16478.43
359,917.38,16484.77
360,919.13,16443.3
361,920.88,16445.6
362,922.63,16488.07
363,924.38,16507.9
364,926.13,16532.53
365,927.88,16516.07
366,929.63,16492.83
367,931.37,16543.57
368,933.12,16535.73
369,934.86,16506.67
370,936.6,16510.07
371,938.35,16463
372,940.09,16453.4
373,941.83,16407.47
374,943.57,16390.53
375,945.3,16379.47
376,947.04,16358.13
377,948.78,16333.77
378,950.51,16269.8
379,952.25,16252.37
380,953.98,16168.47
381,955.71,16144.47
382,957.44,16094.47
383,959.17,16056.67
384,960.9,15986.4
385,962.63,15956
386,964.36,15834.87
387,966.09,15831.73
388,967.81,15750.23
389,969.54,15680
390,971.26,15647.43
391,972.98,15573.03
392,974.71,15490.47
393,976.43,15443.73
394,978.15,15370.43
395,979.87,15324.93
396,981.58,15274.9
397,983.3,15234.77
398,985.02,15158.77
399,986.73,15070.93
400,988.45,15115.93
401,990.16,15096.63
402,991.87,15132.17
403,993.59,15264.17
404,995.3,15470.1
405,997.01,15751.3
406,998.71,16033.4
407,1000.42,16271.5
408,1002.13,16224.9
409,1003.83,16053.57
410,1005.54,15713.53
411,1007.24,15256.03
412,1008.95,14908.4
413,1010.65,14637.7
414,1012.35,14441.8
415,1014.05,14287.3
416,1015.75,14214.83
417,1017.45,14161.07
418,1019.14,14141.7
419,1020.84,14109.57
420,1022.54,14131.53
421,1024.23,14119.13
422,1025.92,14149.37
423,1027.62,14139.87
424,1029.31,14083.1
425,1031,13997.7
426,1032.69,13956.17
427,1034.38,13886.67
428,1036.06,13854.23
429,1037.75,13842.1
430,1039.44,13815.5
431,1041.12,13812.9
432,1042.81,13783.03
433,1044.49,13747.93
434,1046.17,13739.3
435,1047.85,13691.8
436,1049.53,13638.37
437,1051.21,13564.47
438,1052.89,13495.53
439,1054.57,13386.93
440,1056.24,13321.27
441,1057.92,13219.8
442,1059.59,13105
443,1061.27,13043.27
444,1062.94,12892.47
445,1064.61,12775.53
446,1066.28,12637.17
447,1067.95,12507.7
448,1069.62,12433.1
449,1071.29,12301.8
450,1072.95,12224.7
451,1074.62,12143.67
452,1076.29,12040.63
453,1077.95,12027.1
454,1079.61,11983.33
455,1081.27,11903.2
456,1082.94,11867.63
457,1084.6,11779.07
458,1086.26,11743.17
459,1087.91,11679.7
460,1089.57,11615.2
461,1091.23,11600.93
462,1092.88,11557.37
463,1094.54,11511
464,1096.19,11437.2
465,1097.84,11380.73
466,1099.49,11328.5
467,1101.15,11317.5
468,1102.79,11276.27
469,1104.44,11316.13
470,1106.09,11281.2
471,1107.74,11259.4
472,1109.38,11220.77
473,1111.03,11238.63
474,1112.67,11237.03
475,1114.32,11203.43
476,1115.96,11212.9
477,1117.6,11180.17
478,1119.24,11149.57
479,1120.88,11130.97
480,1122.52,11075.43
481,1124.15,11054.13
482,1125.79,11012
483,1127.43,10978.37
484,1129.06,10910.03
485,1130.69,10856.17
486,1132.33,10798.57
487,1133.96,10782.33
488,1135.59,10721
489,1137.22,10705.6
490,1138.85,10607.73
491,1140.47,10543.73
492,1142.1,10478.97
493,1143.73,10461
494,1145.35,10413.57
495,1146.98,10398.27
496,1148.6,10386.53
497,1150.22,10332.87
498,1151.84,10286
499,1153.46,10283.63
500,1155.08,10250.67
501,1156.7,10225.1
502,1158.32,10204.9
503,1159.93,10193.9
504,1161.55,10145.8
505,1163.16,10098.33
506,1164.78,10126.07
507,1166.39,10113.07
508,1168,10080
509,1169.61,10103.77
510,1171.22,10035.7
511,1172.83,9974.87
512,1174.44,9933.5
513,1176.04,9869.03
514,1177.65,9780.33
515,1179.26,9747.3
516,1180.86,9718.63
517,1182.46,9649.93
518,1184.06,9587.1
519,1185.67,9523.57
520,1187.27,9533.07
521,1188.86,9474.5
522,1190.46,9463.7
523,1192.06,9439.73
524,1193.66,9411.27
525,1195.25,9342.93
526,1196.85,9345.97
527,1198.44,9319.27
528,1200.03,9309.6
529,1201.62,9310.4
530,1203.21,9277.7
531,1204.8,9222.1
532,1206.39,9196.83
533,1207.98,9155.97
534,1209.57,9094.5
535,1211.15,9097.3
536,1212.74,9026.47
537,1214.32,8970
538,1215.91,8867.13
539,1217.49,8844.53
540,1219.07,8768.03
541,1220.65,8729.8
542,1222.23,8707.43
543,1223.81,8638.27
544,1225.38,8574.47
545,1226.96,8510.43
546,1228.53,8455.37
547,1230.11,8455.17
548,1231.68,8389.7
549,1233.25,8348.43
550,1234.83,8312.4
551,1236.4,8264.43
552,1237.97,8219.63
553,1239.54,8184.03
554,1241.1,8128.37
555,1242.67,8115.63
556,1244.24,8049.27
557,1245.8,7964.8
558,1247.36,7920.73
559,1248.93,7845
560,1250.49,7818.17
561,1252.05,7773.07
562,1253.61,7722.6
563,1255.17,7644.83
564,1256.73,7571.2
565,1258.28,7506.63
566,1259.84,7466.3
567,1261.4,7416.73
568,1262.95,7385.43
569,1264.5,7322
570,1266.06,7246.2
571,1267.61,7160
572,1269.16,7144.07
573,1270.71,7088.67
574,1272.26,7032.17
575,1273.8,6984.63
576,1275.35,6946.8
577,1276.9,6876.9
578,1278.44,6832.13
579,1279.99,6796.5
580,1281.53,6745.9
581,1283.07,6687.43
582,1284.61,6662.3
583,1286.15,6620.5
584,1287.69,6560.13
585,1289.23,6497.93
586,1290.77,6430.07
587,1292.3,6359.1
588,1293.84,6304.5
589,1295.37,6249.23
590,1296.9,6178.33
591,1298.44,6133.4
592,1299.97,6088.57
593,1301.5,6019.5
594,1303.03,5985.6
595,1304.56,5954.2
596,1306.08,5901.1
597,1307.61,5831.57
598,1309.14,5823.97
599,1310.66,5755.13
600,1312.19,5709.97
601,1313.71,5691.63
602,1315.23,5662.6
603,1316.75,5613.83
604,1318.27,5520.8
605,1319.79,5509.9
606,1321.31,5477.8
607,1322.83,5411.17
608,1324.34,5411.23
609,1325.86,5341.93
610,1327.37,5294.47
611,1328.88,5238.6
612,1330.4,5207.43
613,1331.91,5171.83
614,1333.42,5132.63
615,1334.93,5110.17
616,1336.44,5052.77
617,1337.94,4999.13
618,1339.45,4950.57
619,1340.96,4896.13
620,1342.46,4884.4
621,1343.97,4858.3
622,1345.47,4813.7
623,1346.97,4744.03
624,1348.47,4680.63
625,1349.97,4643.73
626,1351.47,4623.43
627,1352.97,4590.83
628,1354.46,4568.33
629,1355.96,4489.47
630,1357.46,4448.73
631,1358.95,4433.5
632,1360.44,4383.3
633,1361.94,4355.67
634,1363.43,4330.7
635,1364.92,4351.13
636,1366.41,4269
637,1367.9,4231.2
638,1369.38,4223.67
639,1370.87,4178.3
640,1372.36,4171.63
641,1373.84,4161.8
642,1375.32,4134.27
643,1376.81,4095.67
644,1378.29,4072.67
645,1379.77,4084.4
646,1381.25,4077.57
647,1382.73,4068.03
648,1384.21,4061.47
649,1385.68,4036.13
650,1387.16,3983.23
651,1388.63,3931.53
652,1390.11,3947.37
653,1391.58,3930.4
654,1393.05,3908.1
655,1394.53,3892.07
656,1396,3866.87
657,1397.46,3836.77
658,1398.93,3822.33
659,1400.4,3792.27
660,1401.87,3823.57
661,1403.33,3821.17
662,1404.8,3823.53
663,1406.26,3781.4
664,1407.72,3771.87
665,1409.19,3766.17
666,1410.65,3741.73
667,1412.11,3760.5
668,1413.57,3745.9
669,1415.02,3727.17
670,1416.48,3708.63
671,1417.94,3695.77
672,1419.39,3699.13
673,1420.85,3654.17
674,1422.3,3703.6
675,1423.75,3650.5
676,1425.2,3643.3
677,1426.65,3662.73
678,1428.1,3714.37
679,1429.55,3636.63
680,1431,3607.3
681,1432.44,3614.6
682,1433.89,3607.67
683,1435.33,3597.73
684,1436.78,3577.57
685,1438.22,3579.97
686,1439.66,3562.93
687,1441.1,3573.57
688,1442.54,3578.73
689,1443.98,3565.37
690,1445.42,3572.83
691,1446.86,3559.83
692,1448.29,3565.47
693,1449.73,3547.93
694,1451.16,3599.27
695,1452.59,3609.63
696,1454.03,3605.53
697,1455.46,3593.77
698,1456.89,3635.17
699,1458.32,3685.27
700,1459.75,3707.87
701,1461.17,3737.43
702,1462.6,3739.77
703,1464.02,3729.97
704,1465.45,3725.57
705,1466.87,3707.83
706,1468.3,3687.07
707,1469.72,3680.23
708,1471.14,3635.23
709,1472.56,3592.33
710,1473.98,3534.47
711,1475.39,3515.57
712,1476.81,3455.53
713,1478.23,3405.57
714,1479.64,3352.47
715,1481.06,3281.37
716,1482.47,3247.2
717,1483.88,3210.03
718,1485.29,3183.87
719,1486.7,3167.87
720,1488.11,3128.7
721,1489.52,3143.93
722,1490.93,3100.77
723,1492.33,3066.27
724,1493.74,3048.1
725,1495.14,3087.03
726,1496.55,3070.13
727,1497.95,3075.77
728,1499.35,3054.4
729,1500.75,3032.27
730,1502.15,3050.8
731,1503.55,3055.27
732,1504.95,3056.43
733,1506.34,3006
734,1507.74,3029.23
735,1509.14,3022.47
736,1510.53,3007.1
737,1511.92,2997.33
738,1513.31,3002.4
739,1514.71,3006.27
740,1516.1,3006.47
741,1517.48,3012
742,1518.87,2993.57
743,1520.26,2971.23
744,1521.65,2962.8
745,1523.03,2955.63
746,1524.42,2957.87
747,1525.8,2974.4
748,1527.18,2953.1
749,1528.56,2976.3
750,1529.94,2943.5
751,1531.32,2927.8
752,1532.7,2953.67
753,1534.08,2931.43
754,1535.46,2954.93
755,1536.83,2928.8
756,1538.21,2940.07
757,1539.58,2924.1
758,1540.95,2916.2
759,1542.33,2913.5
760,1543.7,2922.07
761,1545.07,2911.7
762,1546.44,2897.93
763,1547.81,2900.67
764,1549.17,2920.17
765,1550.54,2911.73
766,1551.9,2933.77
767,1553.27,2933.3
768,1554.63,2936.23
769,1555.99,2928.53
770,1557.36,2915.87
771,1558.72,2920
772,1560.08,2952
773,1561.43,2922
774,1562.79,2963.77
775,1564.15,2942
776,1565.5,2937.17
777,1566.86,2909.57
778,1568.21,2953.27
779,1569.57,2923.2
780,1570.92,2935.2
781,1572.27,2963.93
782,1573.62,2961.77
783,1574.97,2945.27
784,1576.32,2955.67
785,1577.66,2986.93
786,1579.01,2979.93
787,1580.35,3016.37
788,1581.7,3024.6
789,1583.04,3011.57
790,1584.38,3030.9
791,1585.73,3055.83
792,1587.07,3091.7
793,1588.41,3146
794,1589.74,3176.23
795,1591.08,3174.53
796,1592.42,3173.9
797,1593.75,3189.97
798,1595.09,3211.13
799,1596.42,3262.5
800,1597.76,3278.7
801,1599.09,3296.7
802,1600.42,3295.93
803,1601.75,3270.37
804,1603.08,3319.9
805,1604.41,3330.23
806,1605.73,3345.6
807,1607.06,3382
808,1608.38,3380.7
809,1609.71,3351.07
810,1611.03,3379.17
811,1612.35,3369.1
812,1613.68,3401.67
813,1615,3385.9
814,1616.32,3404.17
815,1617.63,3390.07
816,1618.95,3375.3
817,1620.27,3382.37
818,1621.58,3378.33
819,1622.9,3376.47
820,1624.21,3383.47
821,1625.52,3389.6
822,1626.84,3387.07
823,1628.15,3395.5
824,1629.46,3368.93
825,1630.77,3379.47
826,1632.07,3363.67
827,1633.38,3384.37
828,1634.69,3351.87
829,1635.99,3357.7
830,1637.3,3363.7
831,1638.6,3346.57
832,1639.9,3334.37
833,1641.2,3372.37
834,1642.5,3357.73
835,1643.8,3383.87
836,1645.1,3298.1
837,1646.4,3312.1
838,1647.7,3321.17
839,1648.99,3327.77
840,1650.29,3309.9
841,1651.58,3313.63
842,1652.87,3310.47
843,1654.16,3268.7
844,1655.45,3279.8
845,1656.74,3263.87
846,1658.03,3254.2
847,1659.32,3254.73
848,1660.61,3195.63
849,1661.89,3179.9
850,1663.18,3146.93
851,1664.46,3127.23
852,1665.75,3094.27
853,1667.03,3087
854,1668.31,3090.13
855,1669.59,3049.63
856,1670.87,3006.93
857,1672.15,3017.03
858,1673.43,2998.77
859,1674.7,2976.47
860,1675.98,2988.57
861,1677.25,2933.1
862,1678.53,2879.43
863,1679.8,2865.1
864,1681.07,2863.07
865,1682.34,2828.67
866,1683.61,2843.1
867,1684.88,2820.63
868,1686.15,2767.17
869,1687.41,2733.43
870,1688.68,2720.5
871,1689.95,2725.07
872,1691.21,2683.57
873,1692.47,2685.2
874,1693.73,2639.9
875,1695,2619.33
876,1696.26,2590.57
877,1697.52,2564.43
878,1698.77,2580.37
879,1700.03,2521
880,1701.29,2542.87
881,1702.54,2499.2
882,1703.8,2486.2
883,1705.05,2453.2
884,1706.3,2443.5
885,1707.55,2432.47
886,1708.81,2406.4
887,1710.06,2404.1
888,1711.3,2393.1
889,1712.55,2356.73
890,1713.8,2374.23
891,1715.04,2346.27
892,1716.29,2321.67
893,1717.53,2325.37
894,1718.78,2288.33
895,1720.02,2284.17
896,1721.26,2250.97
897,1722.5,2276.23
898,1723.74,2222.5
899,1724.98,2248.43
900,1726.21,2230.6
901,1727.45,2216.3
902,1728.69,2170.8
903,1729.92,2183.2
904,1731.15,2200.63
905,1732.39,2170.6
906,1733.62,2181.4
907,1734.85,2167.43
908,1736.08,2160.33
909,1737.31,2131.57
910,1738.54,2141.3
911,1739.76,2152.33
912,1740.99,2133.27
913,1742.21,2135.17
914,1743.44,2120.43
915,1744.66,2129.13
916,1745.88,2099.77
917,1747.1,2105.93
918,1748.32,2091.57
919,1749.54,2117.83
920,1750.76,2114.83
921,1751.98,2102.67
922,1753.19,2082.47
923,1754.41,2057.13
924,1755.62,2052.33
925,1756.84,2089.7
926,1758.05,2123.6
927,1759.26,2100
928,1760.47,2103.47
929,1761.68,2114.43
930,1762.89,2108.5
931,1764.1,2128.8
932,1765.3,2153.4
933,1766.51,2157.8
934,1767.71,2168.03
935,1768.92,2154.87
936,1770.12,2159.33
937,1771.32,2183.6
938,1772.52,2196.23
939,1773.72,2231.67
940,1774.92,2227.27
941,1776.12,2222.53
942,1777.32,2231
943,1778.51,2261.7
944,1779.71,2291.23
945,1780.9,2280.27
946,1782.1,2337.8
947,1783.29,2320.5
948,1784.48,2307.83
949,1785.67,2314.5
950,1786.86,2335.3
951,1788.05,2324.9
952,1789.24,2353.93
953,1790.42,2346.4
954,1791.61,2344.7
955,1792.79,2309.27
956,1793.98,2353.53
957,1795.16,2338.8
958,1796.34,2331.07
959,1797.52,2335.17
960,1798.7,2325.2
961,1799.88,2301.67
962,1801.06,2271.23
963,1802.24,2225.8
964,1803.41,2257.23
965,1804.59,2206.83
966,1805.76,2244.47
967,1806.94,2201.4
968,1808.11,2172.07
969,1809.28,2169.13
970,1810.45,2154.03
971,1811.62,2131.7
972,1812.79,2143.9
973,1813.96,2120.53
974,1815.12,2107.07
975,1816.29,2064.77
976,1817.45,2052.93
977,1818.62,2007.93
978,1819.78,2008.07
979,1820.94,2034.83
980,1822.1,1979.23
981,1823.26,1966.73
982,1824.42,1927.07
983,1825.58,1936.6
984,1826.73,1933.47
985,1827.89,1941.23
986,1829.05,1938.97
987,1830.2,1876
988,1831.35,1845.73
989,1832.51,1851.27
990,1833.66,1868.4
991,1834.81,1858.9
992,1835.96,1857.9
993,1837.1,1844.87
994,1838.25,1809.87
995,1839.4,1809.53
996,1840.54,1811
997,1841.69,1805.6
998,1842.83,1790.7
999,1843.97,1767.17
1000,1845.12,1773.2
1001,1846.26,1763.87
1002,1847.4,1746.07
1003,1848.54,1753
1004,1849.67,1774.7
1005,1850.81,1779.3
1006,1851.95,1753.43
1007,1853.08,1749.2
1008,1854.22,1724.8
1009,1855.35,1751.77
1010,1856.48,1722.47
1011,1857.61,1724.3
1012,1858.74,1736
1013,1859.87,1719.17
1014,1861,1704.53
1015,1862.13,1698.27
1016,1863.25,1688.37
1017,1864.38,1690.33
1018,1865.5,1677.8
1019,1866.63,1676.57
1020,1867.75,1668.23
1021,1868.87,1655.17
1022,1869.99,1653.7
1023,1871.11,1658.13
1024,1872.23,1656.03
