Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9379.73
2,231.77,9960.93
3,233.85,10436.03
4,235.94,10812.77
5,238.02,11015.1
6,240.1,11171.4
7,242.18,11250.6
8,244.26,11272.33
9,246.34,11243.97
10,248.42,11177.97
11,250.5,11101.47
12,252.58,10996.6
13,254.66,10883.07
14,256.73,10761.33
15,258.8,10662.17
16,260.88,10575.83
17,262.95,10431.77
18,265.02,10396.4
19,267.09,10295.47
20,269.16,10185.47
21,271.23,10113.97
22,273.3,10018.37
23,275.37,9943.73
24,277.43,9855.87
25,279.5,9786.53
26,281.56,9648.37
27,283.63,9545.77
28,285.69,9474.53
29,287.75,9378.97
30,289.81,9267.47
31,291.87,9211.47
32,293.93,9099.63
33,295.99,9013.13
34,298.05,8965.03
35,300.1,8885.63
36,302.16,8825.57
37,304.21,8767.27
38,306.26,8724.63
39,308.32,8696.4
40,310.37,8644.73
41,312.42,8643.73
42,314.47,8621.57
43,316.52,8610.33
44,318.57,8589.1
45,320.61,8615.23
46,322.66,8609.07
47,324.7,8592.8
48,326.75,8609.73
49,328.79,8647.77
50,330.83,8654.9
51,332.88,8647.73
52,334.92,8677.93
53,336.96,8695.53
54,338.99,8724.97
55,341.03,8727.67
56,343.07,8722.23
57,345.11,8759.27
58,347.14,8787.23
59,349.17,8826.67
60,351.21,8805.83
61,353.24,8860.27
62,355.27,8860.57
63,357.3,8925.37
64,359.33,8979.33
65,361.36,8964.87
66,363.39,8991.37
67,365.41,9045.37
68,367.44,9082.07
69,369.47,9122.47
70,371.49,9149.4
71,373.51,9136.8
72,375.54,9269.67
73,377.56,9277.5
74,379.58,9349.4
75,381.6,9395.2
76,383.61,9412.73
77,385.63,9490.23
78,387.65,9532.53
79,389.66,9584.8
80,391.68,9648.43
81,393.69,9672.23
82,395.71,9727.47
83,397.72,9805.97
84,399.73,9848
85,401.74,9910.63
86,403.75,9942.63
87,405.76,10050.03
88,407.77,10115.23
89,409.77,10159.57
90,411.78,10261.73
91,413.78,10311.4
92,415.79,10354.37
93,417.79,10413.8
94,419.79,10454.03
95,421.79,10489.47
96,423.79,10523.4
97,425.79,10568
98,427.79,10605.13
99,429.79,10629.33
100,431.78,10658.57
101,433.78,10741.4
102,435.77,10762.93
103,437.77,10778.17
104,439.76,10841.8
105,441.75,10898.33
106,443.74,10923.13
107,445.73,11011.27
108,447.72,11044.33
109,449.71,11090.4
110,451.7,11132.43
111,453.68,11196.97
112,455.67,11202.57
113,457.65,11269.53
114,459.64,11320.03
115,461.62,11372.3
116,463.6,11393.93
117,465.58,11457.63
118,467.56,11500.8
119,469.54,11531.13
120,471.52,11585.37
121,473.49,11619.63
122,475.47,11699.73
123,477.44,11751.73
124,479.42,11775.07
125,481.39,11780.47
126,483.36,11798.97
127,485.34,11834.03
128,487.31,11796.77
129,489.28,11767.83
130,491.24,11802.47
131,493.21,11744.4
132,495.18,11718.8
133,497.14,11671.87
134,499.11,11623.57
135,501.07,11616.33
136,503.04,11561.1
137,505,11531.97
138,506.96,11508.03
139,508.92,11518.53
140,510.88,11530.7
141,512.84,11532.47
142,514.79,11582.53
143,516.75,11605.67
144,518.71,11660.13
145,520.66,11650.17
146,522.62,11691.97
147,524.57,11724.63
148,526.52,11756.63
149,528.47,11755.33
150,530.42,11800.83
151,532.37,11842.2
152,534.32,11912.17
153,536.27,11868.43
154,538.21,11992.83
155,540.16,12019.57
156,542.1,12007.67
157,544.04,12008.07
158,545.99,12013.87
159,547.93,11968.57
160,549.87,11951.57
161,551.81,11931.67
162,553.75,11921.43
163,555.69,11910.93
164,557.62,11913.17
165,559.56,11944.37
166,561.49,11912.07
167,563.43,11979.1
168,565.36,11991.73
169,567.29,12038.3
170,569.23,12066.43
171,571.16,12091.8
172,573.09,12136.7
173,575.01,12151.8
174,576.94,12184.47
175,578.87,12211.8
176,580.79,12264.97
177,582.72,12336.2
178,584.64,12398.33
179,586.57,12466.2
180,588.49,12533.33
181,590.41,12633.1
182,592.33,12717.4
183,594.25,12865.4
184,596.17,12985.23
185,598.08,13085.73
186,600,13209.03
187,601.92,13440.77
188,603.83,13614.97
189,605.74,13763.6
190,607.66,13931.33
191,609.57,14105.1
192,611.48,14314.83
193,613.39,14519.73
194,615.3,14764.4
195,617.21,14941.4
196,619.11,15170.3
197,621.02,15347.47
198,622.92,15600.47
199,624.83,15790.77
200,626.73,15994.83
201,628.63,16196.9
202,630.53,16361.03
203,632.44,16571.47
204,634.33,16748.3
205,636.23,16927.53
206,638.13,17159.53
207,640.03,17305.43
208,641.92,17644.63
209,643.82,17795.17
210,645.71,18003.13
211,647.61,18211.47
212,649.5,18417.53
213,651.39,18602.83
214,653.28,18837.43
215,655.17,19042.47
216,657.06,19244.63
217,658.94,19480.17
218,660.83,19684.17
219,662.72,19851
220,664.6,20099.9
221,666.48,20268.9
222,668.37,20399.8
