Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9571.4
2,231.77,10183.37
3,233.85,10693.93
4,235.94,11085.77
5,238.02,11334.77
6,240.1,11512.5
7,242.18,11594.1
8,244.26,11604.2
9,246.34,11575.37
10,248.42,11537.13
11,250.5,11439.8
12,252.58,11331.37
13,254.66,11191.5
14,256.73,11077.37
15,258.8,10960.27
16,260.88,10869.5
17,262.95,10766.53
18,265.02,10703.17
19,267.09,10592.03
20,269.16,10506.4
21,271.23,10401.9
22,273.3,10279.13
23,275.37,10253.33
24,277.43,10127.87
25,279.5,10025.8
26,281.56,9949.77
27,283.63,9811.67
28,285.69,9719.27
29,287.75,9631.03
30,289.81,9559.93
31,291.87,9459.83
32,293.93,9358.6
33,295.99,9271.47
34,298.05,9227.47
35,300.1,9110.43
36,302.16,9057.73
37,304.21,9019.7
38,306.26,8959.23
39,308.32,8954.73
40,310.37,8878.7
41,312.42,8870.6
42,314.47,8849.8
43,316.52,8828.23
44,318.57,8826.2
45,320.61,8854.7
46,322.66,8867.17
47,324.7,8837.87
48,326.75,8829.37
49,328.79,8856.53
50,330.83,8859.3
51,332.88,8869.17
52,334.92,8914.1
53,336.96,8934.3
54,338.99,8914.77
55,341.03,8906.53
56,343.07,8937.9
57,345.11,8987.23
58,347.14,9010.17
59,349.17,9046.6
60,351.21,9047.17
61,353.24,9032.77
62,355.27,9071.27
63,357.3,9126.8
64,359.33,9137.67
65,361.36,9166.3
66,363.39,9182.33
67,365.41,9224.57
68,367.44,9241.47
69,369.47,9264.57
70,371.49,9304.23
71,373.51,9354.2
72,375.54,9469.27
73,377.56,9476.9
74,379.58,9533.97
75,381.6,9544.1
76,383.61,9607.43
77,385.63,9684.2
78,387.65,9727
79,389.66,9800
80,391.68,9825.73
81,393.69,9858.37
82,395.71,9908.6
83,397.72,9995.37
84,399.73,10050.33
85,401.74,10109.37
86,403.75,10194.7
87,405.76,10283.2
88,407.77,10331.97
89,409.77,10437.73
90,411.78,10521.07
91,413.78,10603.4
92,415.79,10674.93
93,417.79,10717.83
94,419.79,10738.87
95,421.79,10756.67
96,423.79,10823.93
97,425.79,10867.67
98,427.79,10903.83
99,429.79,10948.3
100,431.78,10962.73
101,433.78,10956.13
102,435.77,11008.67
103,437.77,11084.1
104,439.76,11144.43
105,441.75,11214.57
106,443.74,11254.9
107,445.73,11269.17
108,447.72,11287.1
109,449.71,11371.27
110,451.7,11432.17
111,453.68,11475.63
112,455.67,11523.2
113,457.65,11561.27
114,459.64,11611.97
115,461.62,11683.13
116,463.6,11708.27
117,465.58,11747.07
118,467.56,11800.73
119,469.54,11869.2
120,471.52,11905
121,473.49,11974.1
122,475.47,12039.87
123,477.44,12101.33
124,479.42,12114.5
125,481.39,12148.6
126,483.36,12205.8
127,485.34,12214
128,487.31,12162.97
129,489.28,12186.43
130,491.24,12179.13
131,493.21,12160.13
132,495.18,12118.27
133,497.14,12045.67
134,499.11,11988.5
135,501.07,11965.27
136,503.04,11902
137,505,11875.17
138,506.96,11904.57
139,508.92,11901.13
140,510.88,11880.87
141,512.84,11902.77
142,514.79,11954.73
143,516.75,12037.4
144,518.71,12055.43
145,520.66,12099.3
146,522.62,12107.23
147,524.57,12087.7
148,526.52,12119.97
149,528.47,12131.37
150,530.42,12172.27
151,532.37,12257.97
152,534.32,12289.17
153,536.27,12312.1
154,538.21,12363.1
155,540.16,12377.97
156,542.1,12389.67
157,544.04,12368.23
158,545.99,12365.63
159,547.93,12342.6
160,549.87,12308.17
161,551.81,12271
162,553.75,12253.8
163,555.69,12261.67
164,557.62,12282.93
165,559.56,12308.37
166,561.49,12306.8
167,563.43,12344.37
168,565.36,12360.77
169,567.29,12409.5
170,569.23,12401.63
171,571.16,12450.7
172,573.09,12495.43
173,575.01,12500.93
174,576.94,12507.57
175,578.87,12538.13
176,580.79,12633.27
177,582.72,12688.3
178,584.64,12778.2
179,586.57,12835.97
180,588.49,12907.27
181,590.41,12976.97
182,592.33,13093.8
183,594.25,13237.63
184,596.17,13341.47
185,598.08,13505.97
186,600,13629.27
187,601.92,13831.17
188,603.83,13985.47
189,605.74,14178.8
190,607.66,14369.3
191,609.57,14594.6
192,611.48,14849.03
193,613.39,15020.17
194,615.3,15267.27
195,617.21,15500.73
196,619.11,15731.23
197,621.02,15953.63
198,622.92,16215.23
199,624.83,16388.93
200,626.73,16538.47
201,628.63,16761.9
202,630.53,16941.5
203,632.44,17140.83
204,634.33,17328.97
205,636.23,17557.8
206,638.13,17751.67
207,640.03,17903.17
208,641.92,18289.33
209,643.82,18496.2
210,645.71,18697.53
211,647.61,18914.27
212,649.5,19133.63
213,651.39,19323.13
214,653.28,19576.2
215,655.17,19786.53
216,657.06,19993.03
217,658.94,20213
218,660.83,20438.5
219,662.72,20628.8
220,664.6,20817.4
221,666.48,21023.9
222,668.37,21211.27
223,670.25,21389.4
224,672.13,21521.9
225,674.01,21647.57
226,675.89,21755.63
227,677.77,21863.77
228,679.64,21970.37
229,681.52,22047.8
230,683.39,22072.63
231,685.27,22161.4
232,687.14,22207.3
233,689.01,22244.77
234,690.88,22291.17
235,692.76,22365.7
236,694.62,22366.1
237,696.49,22403.9
238,698.36,22412.57
239,700.23,22393.6
240,702.09,22415.07
241,703.96,22367.17
242,705.82,22361
243,707.68,22326.47
244,709.55,22234.87
245,711.41,22137.17
246,713.27,22051.17
247,715.13,21967.2
248,716.99,21868.2
249,718.84,21793.73
250,720.7,21677.27
251,722.55,21640.8
252,724.41,21535.67
253,726.26,21517.03
254,728.11,21476.03
255,729.97,21509.37
256,731.82,21534.3
