Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9396.47
2,231.77,10019.73
3,233.85,10532.47
4,235.94,10870.17
5,238.02,11119.17
6,240.1,11257.73
7,242.18,11358.27
8,244.26,11370.93
9,246.34,11372.6
10,248.42,11310.77
11,250.5,11252.3
12,252.58,11125
13,254.66,11026.63
14,256.73,10884.57
15,258.8,10792.33
16,260.88,10681.43
17,262.95,10595.97
18,265.02,10515.1
19,267.09,10444.63
20,269.16,10339.33
21,271.23,10243.07
22,273.3,10189.3
23,275.37,10082.23
24,277.43,10009.37
25,279.5,9902.63
26,281.56,9790.6
27,283.63,9717.37
28,285.69,9618.67
29,287.75,9530.47
30,289.81,9423.33
31,291.87,9380.43
32,293.93,9269.67
33,295.99,9196.53
34,298.05,9107.5
35,300.1,9049.8
36,302.16,8999.53
37,304.21,8957.97
38,306.26,8920.9
39,308.32,8889.43
40,310.37,8824.4
41,312.42,8800.87
42,314.47,8801.3
43,316.52,8793.4
44,318.57,8812.33
45,320.61,8818.97
46,322.66,8760.83
47,324.7,8756.33
48,326.75,8787.9
49,328.79,8814.43
50,330.83,8779.07
51,332.88,8804.6
52,334.92,8843.93
53,336.96,8864.3
54,338.99,8866.67
55,341.03,8857.97
56,343.07,8885.83
57,345.11,8909.53
58,347.14,8979.1
59,349.17,8985.5
60,351.21,9027.7
61,353.24,9002.1
62,355.27,9080.33
63,357.3,9080.03
64,359.33,9097.2
65,361.36,9143.5
66,363.39,9168.13
67,365.41,9180.17
68,367.44,9186.87
69,369.47,9244.1
70,371.49,9287.4
71,373.51,9369.73
72,375.54,9439.93
73,377.56,9465.03
74,379.58,9472.4
75,381.6,9524.43
76,383.61,9583.73
77,385.63,9652.63
78,387.65,9685.97
79,389.66,9745.53
80,391.68,9778
81,393.69,9801.87
82,395.71,9890.03
83,397.72,9929.67
84,399.73,9998.57
85,401.74,10045.97
86,403.75,10107.1
87,405.76,10200.7
88,407.77,10253.4
89,409.77,10337.8
90,411.78,10437.33
91,413.78,10489.5
92,415.79,10533.43
93,417.79,10593.83
94,419.79,10636.17
95,421.79,10653.1
96,423.79,10722.43
97,425.79,10744.07
98,427.79,10794.23
99,429.79,10827.77
100,431.78,10863.9
101,433.78,10903.97
102,435.77,10923.33
103,437.77,10995.5
104,439.76,11030.4
105,441.75,11108.13
106,443.74,11153.57
107,445.73,11169.67
108,447.72,11211.97
109,449.71,11295.8
110,451.7,11363.4
111,453.68,11392
112,455.67,11464.8
113,457.65,11491.3
114,459.64,11497.6
115,461.62,11564.9
116,463.6,11603.47
117,465.58,11665.5
118,467.56,11702.43
119,469.54,11753.17
120,471.52,11800.17
121,473.49,11859.83
122,475.47,11904.23
123,477.44,11942.8
124,479.42,11975
125,481.39,11999.13
126,483.36,12020.23
127,485.34,12011.33
128,487.31,12008.17
129,489.28,12009.6
130,491.24,12025.17
131,493.21,11992.67
132,495.18,11940.07
133,497.14,11896.07
134,499.11,11853
135,501.07,11818.77
136,503.04,11752.4
137,505,11752.4
138,506.96,11776.57
139,508.92,11779.6
140,510.88,11767.33
141,512.84,11802.43
142,514.79,11840.67
143,516.75,11880.67
144,518.71,11926.4
145,520.66,11991.07
146,522.62,11997.23
147,524.57,12014.77
148,526.52,11994.6
149,528.47,12053.2
150,530.42,12122.47
151,532.37,12152.1
152,534.32,12192.07
153,536.27,12206.7
154,538.21,12220.2
155,540.16,12255.87
156,542.1,12262.6
157,544.04,12263.57
158,545.99,12268
159,547.93,12175.93
160,549.87,12174.87
161,551.81,12119.37
162,553.75,12134.03
163,555.69,12137.4
164,557.62,12144.63
165,559.56,12153.17
166,561.49,12200.4
167,563.43,12202.93
168,565.36,12247.97
169,567.29,12263.7
170,569.23,12280.7
171,571.16,12316.17
172,573.09,12348.43
173,575.01,12347.1
174,576.94,12376.57
175,578.87,12423.13
176,580.79,12489.77
177,582.72,12557.1
178,584.64,12641.17
179,586.57,12705.93
180,588.49,12784.43
181,590.41,12831.33
182,592.33,12960.6
183,594.25,13078.67
184,596.17,13197.77
185,598.08,13339.37
186,600,13512.3
187,601.92,13639.27
188,603.83,13771.73
189,605.74,13941.7
190,607.66,14148.27
191,609.57,14378.6
192,611.48,14569.6
193,613.39,14796.33
194,615.3,15019.63
195,617.21,15248.13
196,619.11,15486.93
197,621.02,15716.43
198,622.92,15946.17
199,624.83,16105.1
200,626.73,16299.03
201,628.63,16446.3
202,630.53,16650.13
203,632.44,16820.33
204,634.33,17017.3
205,636.23,17235.77
206,638.13,17455.97
207,640.03,17758.53
208,641.92,18005.6
209,643.82,18150.13
210,645.71,18362.4
211,647.61,18580.17
212,649.5,18749.63
213,651.39,19002.97
214,653.28,19186.43
215,655.17,19429.1
216,657.06,19639.13
217,658.94,19861.67
218,660.83,20079.23
219,662.72,20275.1
220,664.6,20471.8
221,666.48,20626.2
222,668.37,20801.07
223,670.25,20962.87
224,672.13,21144.77
225,674.01,21271.4
226,675.89,21398.33
227,677.77,21463.67
228,679.64,21597.77
229,681.52,21682.27
230,683.39,21745.67
231,685.27,21824.07
232,687.14,21869.57
233,689.01,21907.8
234,690.88,21968.5
235,692.76,22017.47
236,694.62,22027.43
237,696.49,22047.13
238,698.36,22066.3
239,700.23,22084.97
240,702.09,22040.03
241,703.96,22052.53
242,705.82,22008.03
243,707.68,21978.9
244,709.55,21900
245,711.41,21857.43
246,713.27,21763.63
247,715.13,21645.63
248,716.99,21541.53
249,718.84,21481.47
250,720.7,21394.03
251,722.55,21309.53
252,724.41,21228.93
253,726.26,21221.33
254,728.11,21171.13
255,729.97,21179.3
256,731.82,21187.93
257,733.67,21193.3
258,735.52,21214.5
259,737.36,21150.3
260,739.21,21038.53
261,741.06,20897.23
262,742.9,20795.77
263,744.75,20682.83
264,746.59,20633.4
265,748.43,20550.3
266,750.27,20481.17
267,752.11,20381.9
268,753.95,20320.43
269,755.79,20333.9
270,757.63,20252.5
271,759.46,20200.67
272,761.3,20141.33
273,763.13,20060.33
274,764.97,20006.2
275,766.8,19971.13
276,768.63,19907.83
