Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9718.27
2,231.77,10337.03
3,233.85,10815.87
4,235.94,11199.87
5,238.02,11462.6
6,240.1,11616.17
7,242.18,11689.23
8,244.26,11700.33
9,246.34,11670
10,248.42,11602.37
11,250.5,11527.23
12,252.58,11381.63
13,254.66,11252.83
14,256.73,11131.43
15,258.8,11027.03
16,260.88,10923.97
17,262.95,10793.2
18,265.02,10738.83
19,267.09,10641.2
20,269.16,10538.37
21,271.23,10420.33
22,273.3,10343.77
23,275.37,10249.3
24,277.43,10164.33
25,279.5,10096.47
26,281.56,9945.83
27,283.63,9827.5
28,285.69,9750.1
29,287.75,9658.6
30,289.81,9567.77
31,291.87,9499.87
32,293.93,9383.63
33,295.99,9292.1
34,298.05,9227.8
35,300.1,9148.57
36,302.16,9095.87
37,304.21,9029.07
38,306.26,9001.33
39,308.32,8949.3
40,310.37,8906.67
41,312.42,8879.2
42,314.47,8873.33
43,316.52,8859.13
44,318.57,8833.1
45,320.61,8861.4
46,322.66,8851.37
47,324.7,8850
48,326.75,8845.93
49,328.79,8884.17
50,330.83,8913.5
51,332.88,8895.47
52,334.92,8921.2
53,336.96,8941.53
54,338.99,8960.97
55,341.03,8968.2
56,343.07,8970.37
57,345.11,9007.97
58,347.14,9029.07
59,349.17,9063.67
60,351.21,9052.9
61,353.24,9101.67
62,355.27,9072.1
63,357.3,9162.43
64,359.33,9194.73
65,361.36,9197.13
66,363.39,9231.27
67,365.41,9285.9
68,367.44,9308.73
69,369.47,9352.27
70,371.49,9401.57
71,373.51,9390.73
72,375.54,9503.9
73,377.56,9516.7
74,379.58,9578.67
75,381.6,9624.27
76,383.61,9639.87
77,385.63,9728.03
78,387.65,9774.93
79,389.66,9810.97
80,391.68,9889.6
81,393.69,9927.03
82,395.71,9971.53
83,397.72,10059.23
84,399.73,10114.87
85,401.74,10181.03
86,403.75,10211.27
87,405.76,10315.1
88,407.77,10360.73
89,409.77,10436.9
90,411.78,10527.1
91,413.78,10596.13
92,415.79,10630.37
93,417.79,10669.87
94,419.79,10726.37
95,421.79,10775.3
96,423.79,10809.07
97,425.79,10868.23
98,427.79,10907.47
99,429.79,10923.77
100,431.78,10956.67
101,433.78,11022.37
102,435.77,11033.1
103,437.77,11084.8
104,439.76,11127.2
105,441.75,11204.73
106,443.74,11222.87
107,445.73,11306.67
108,447.72,11325.07
109,449.71,11371.67
110,451.7,11443.93
111,453.68,11513.13
112,455.67,11528.67
113,457.65,11580.8
114,459.64,11600.7
115,461.62,11668.03
116,463.6,11726.63
117,465.58,11758.07
118,467.56,11814.5
119,469.54,11832.63
120,471.52,11886.47
121,473.49,11933.07
122,475.47,12020.6
123,477.44,12057.17
124,479.42,12078.63
125,481.39,12107.23
126,483.36,12130.83
127,485.34,12149.57
128,487.31,12116.33
129,489.28,12086.7
130,491.24,12148.23
131,493.21,12073.4
132,495.18,12038.6
133,497.14,11987.53
134,499.11,11930.1
135,501.07,11912.23
136,503.04,11873.03
137,505,11830.6
138,506.96,11825.57
139,508.92,11863.17
140,510.88,11868.13
141,512.84,11866.2
142,514.79,11927.5
143,516.75,11967.63
144,518.71,12024.27
145,520.66,12009.7
146,522.62,12068
147,524.57,12071.27
148,526.52,12102.3
149,528.47,12133.17
150,530.42,12171.5
151,532.37,12235.9
152,534.32,12317.27
153,536.27,12260.83
154,538.21,12348.7
155,540.16,12370.6
156,542.1,12375.3
157,544.04,12373.27
158,545.99,12358.03
159,547.93,12307.13
160,549.87,12270
161,551.81,12231.87
162,553.75,12223.57
163,555.69,12211.5
164,557.62,12231.93
165,559.56,12252.07
166,561.49,12216.63
167,563.43,12263.93
168,565.36,12291.77
169,567.29,12331.5
170,569.23,12350.7
