Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9518.37
2,231.77,10123.87
3,233.85,10629.73
4,235.94,11034.6
5,238.02,11286.03
6,240.1,11467.9
7,242.18,11563.77
8,244.26,11566.17
9,246.34,11548.47
10,248.42,11485.83
11,250.5,11392.97
12,252.58,11295.97
13,254.66,11156.4
14,256.73,11025.2
15,258.8,10911.43
16,260.88,10809.33
17,262.95,10707.07
18,265.02,10636.9
19,267.09,10541.27
20,269.16,10456.13
21,271.23,10335.43
22,273.3,10238.8
23,275.37,10182.37
24,277.43,10055.57
25,279.5,9964.97
26,281.56,9876.3
27,283.63,9758.8
28,285.69,9660.63
29,287.75,9558.53
30,289.81,9472.6
31,291.87,9372.73
32,293.93,9278.2
33,295.99,9195.13
34,298.05,9136.17
35,300.1,9044.13
36,302.16,8962.67
37,304.21,8939.4
38,306.26,8880.87
39,308.32,8870.93
40,310.37,8808.17
41,312.42,8789.2
42,314.47,8763.07
43,316.52,8732.7
44,318.57,8736.63
45,320.61,8774.93
46,322.66,8789.13
47,324.7,8756.83
48,326.75,8765.93
49,328.79,8764.37
50,330.83,8760.5
51,332.88,8786.1
52,334.92,8812.5
53,336.96,8841.17
54,338.99,8824.3
55,341.03,8814.43
56,343.07,8848.2
57,345.11,8901.2
58,347.14,8912.4
59,349.17,8953.67
60,351.21,8947.93
61,353.24,8937.9
62,355.27,8984.8
63,357.3,9024.83
64,359.33,9035.4
65,361.36,9067.93
66,363.39,9104.63
67,365.41,9138.43
68,367.44,9140.6
69,369.47,9180.93
70,371.49,9210.3
71,373.51,9263.73
72,375.54,9377.87
73,377.56,9406.53
74,379.58,9447.43
75,381.6,9485.33
76,383.61,9516.33
77,385.63,9597.9
78,387.65,9646.17
79,389.66,9715.6
80,391.68,9753.37
81,393.69,9782.4
82,395.71,9831.03
83,397.72,9925
84,399.73,9965.67
85,401.74,10035.87
86,403.75,10126.93
87,405.76,10218.3
88,407.77,10255.43
89,409.77,10369.8
90,411.78,10460.5
91,413.78,10536.8
92,415.79,10591.4
93,417.79,10637.6
94,419.79,10672.3
95,421.79,10694.33
96,423.79,10764.27
97,425.79,10798.7
98,427.79,10850.03
99,429.79,10881.97
100,431.78,10903.9
101,433.78,10910.63
102,435.77,10957.83
