Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9629.03
2,231.77,10239.57
3,233.85,10727.87
4,235.94,11110.5
5,238.02,11340.77
6,240.1,11496.33
7,242.18,11586.63
8,244.26,11586.83
9,246.34,11561.5
10,248.42,11503.63
11,250.5,11411.83
12,252.58,11285.43
13,254.66,11165
14,256.73,11040.13
15,258.8,10923.97
16,260.88,10824.27
17,262.95,10699.03
18,265.02,10652.47
19,267.09,10554.33
20,269.16,10452.83
21,271.23,10336.57
22,273.3,10266.3
23,275.37,10171.67
24,277.43,10096.27
25,279.5,10022.3
26,281.56,9876.3
27,283.63,9791.03
28,285.69,9704.73
29,287.75,9609.1
30,289.81,9521.1
31,291.87,9438.7
32,293.93,9341.97
33,295.99,9255.33
34,298.05,9182.03
35,300.1,9098.27
36,302.16,9054.97
37,304.21,9002.73
38,306.26,8953.47
39,308.32,8936.43
40,310.37,8888.8
41,312.42,8859.3
42,314.47,8827.13
43,316.52,8830.5
44,318.57,8802.77
45,320.61,8841.83
46,322.66,8837.03
47,324.7,8845.2
48,326.75,8810.43
49,328.79,8872.87
50,330.83,8881.37
51,332.88,8859.33
52,334.92,8898.7
53,336.96,8913
54,338.99,8915.17
55,341.03,8931.7
56,343.07,8936.27
57,345.11,8976.87
58,347.14,8976.33
59,349.17,9022.13
60,351.21,9006.43
61,353.24,9051.13
62,355.27,9041.3
63,357.3,9116.9
64,359.33,9157.5
65,361.36,9152.13
66,363.39,9196.97
67,365.41,9228.13
68,367.44,9266.77
69,369.47,9316.07
70,371.49,9355
71,373.51,9327.67
72,375.54,9455.97
73,377.56,9485.3
74,379.58,9540.87
75,381.6,9574.8
76,383.61,9582.4
77,385.63,9669.6
78,387.65,9707.8
79,389.66,9743.43
80,391.68,9825.17
81,393.69,9866.83
82,395.71,9914.2
83,397.72,9998.93
84,399.73,10031.5
85,401.74,10096.6
86,403.75,10137.6
87,405.76,10227.17
88,407.77,10285.53
89,409.77,10359.3
90,411.78,10466.03
91,413.78,10510.57
92,415.79,10556.97
93,417.79,10608.3
94,419.79,10627.97
95,421.79,10684.6
96,423.79,10709.2
97,425.79,10756.6
98,427.79,10813.23
99,429.79,10837.47
100,431.78,10847.5
101,433.78,10928.67
102,435.77,10962.1
103,437.77,10993.97
104,439.76,11043.47
105,441.75,11105.7
106,443.74,11125.23
107,445.73,11204.03
108,447.72,11221.87
109,449.71,11265.2
110,451.7,11330.07
111,453.68,11383.3
112,455.67,11405.1
113,457.65,11446.3
114,459.64,11488.27
115,461.62,11555.67
116,463.6,11616.97
117,465.58,11649.83
118,467.56,11688.57
119,469.54,11720.83
120,471.52,11770.47
121,473.49,11815.7
122,475.47,11883.03
123,477.44,11931.67
124,479.42,11963.93
125,481.39,11954.3
126,483.36,11996.13
127,485.34,12014.57
128,487.31,11974.97
129,489.28,11954.43
130,491.24,11995.4
131,493.21,11919.4
132,495.18,11894.97
133,497.14,11841.37
134,499.11,11792.97
135,501.07,11791.1
136,503.04,11744.8
137,505,11707.63
138,506.96,11695.6
139,508.92,11720.23
140,510.88,11725.2
141,512.84,11729.9
142,514.79,11791.57
143,516.75,11828.57
144,518.71,11889.83
145,520.66,11891.8
146,522.62,11940.13
147,524.57,11942.57
148,526.52,11975.4
149,528.47,11992.33
150,530.42,12042.4
151,532.37,12079.23
152,534.32,12156.6
153,536.27,12105.03
154,538.21,12210.63
155,540.16,12226.63
156,542.1,12226.37
157,544.04,12203.67
158,545.99,12192.63
159,547.93,12175.3
160,549.87,12112.63
161,551.81,12084.87
162,553.75,12070.17
163,555.69,12045.9
164,557.62,12082.53
165,559.56,12093.07
166,561.49,12056.7
167,563.43,12113.13
168,565.36,12126.37
169,567.29,12172.93
170,569.23,12183.97
171,571.16,12239.93
172,573.09,12276.3
173,575.01,12265.53
174,576.94,12294.67
175,578.87,12337.2
176,580.79,12355.63
177,582.72,12439.33
178,584.64,12499.2
179,586.57,12562.13
180,588.49,12631.83
181,590.41,12740.67
182,592.33,12815.43
183,594.25,12942.7
184,596.17,13089.8
185,598.08,13181.23
186,600,13318.77
187,601.92,13541.3
188,603.83,13684.57
189,605.74,13855.9
190,607.66,14026.9
191,609.57,14224.4
192,611.48,14444
193,613.39,14630.73
194,615.3,14886.93
195,617.21,15086.5
196,619.11,15309.63
197,621.02,15494.8
198,622.92,15738.8
199,624.83,15918.2
200,626.73,16066.47
201,628.63,16291.13
202,630.53,16446.2
203,632.44,16636.43
204,634.33,16818.5
205,636.23,17017.67
206,638.13,17221.7
207,640.03,17333.33
208,641.92,17742.1
209,643.82,17886.7
210,645.71,18101.4
211,647.61,18289.9
212,649.5,18495.9
213,651.39,18668.73
214,653.28,18908.87
215,655.17,19111.8
