Minimal R Export

Pixel,Wavenumber,Processed
1,229.68,9463.3
2,231.77,10062
3,233.85,10571.93
4,235.94,10949.17
5,238.02,11202.27
6,240.1,11369.4
7,242.18,11464.43
8,244.26,11470.63
9,246.34,11427.27
10,248.42,11389.53
11,250.5,11288.3
12,252.58,11166.43
13,254.66,11050.43
14,256.73,10908.87
15,258.8,10796.8
16,260.88,10702.1
17,262.95,10598.47
18,265.02,10534.67
19,267.09,10409.17
20,269.16,10320.9
21,271.23,10218.67
22,273.3,10089.27
23,275.37,10065.13
24,277.43,9913.87
25,279.5,9813.33
26,281.56,9745.83
27,283.63,9613.77
28,285.69,9509.97
29,287.75,9406.23
30,289.81,9335.43
31,291.87,9228.4
32,293.93,9123.97
33,295.99,9051.8
34,298.05,8961.87
35,300.1,8860.83
36,302.16,8813.2
37,304.21,8756.2
38,306.26,8707.4
39,308.32,8691.83
40,310.37,8620.53
41,312.42,8592.2
42,314.47,8553.5
43,316.52,8526.77
44,318.57,8518.97
45,320.61,8546.93
46,322.66,8555.53
47,324.7,8507.6
48,326.75,8498.13
49,328.79,8502.37
50,330.83,8485.67
51,332.88,8494.9
52,334.92,8524.27
53,336.96,8539.2
54,338.99,8513.57
55,341.03,8477.3
56,343.07,8529.97
57,345.11,8544.67
58,347.14,8561.43
59,349.17,8604.83
60,351.21,8570.33
61,353.24,8550.2
62,355.27,8584.07
63,357.3,8615.8
64,359.33,8608.6
65,361.36,8631.7
66,363.39,8653.73
67,365.41,8671.4
68,367.44,8650.47
69,369.47,8691.3
70,371.49,8706.5
71,373.51,8737.57
72,375.54,8838.03
73,377.56,8828.87
74,379.58,8850.97
75,381.6,8839.83
76,383.61,8903.03
77,385.63,8947.1
78,387.65,8958.87
79,389.66,9043.4
80,391.68,9048.5
81,393.69,9048.27
82,395.71,9082.37
83,397.72,9139.37
84,399.73,9169.57
85,401.74,9224.5
86,403.75,9293.13
87,405.76,9326.3
88,407.77,9347.3
89,409.77,9457.27
90,411.78,9479.37
91,413.78,9547.57
92,415.79,9590.3
93,417.79,9585.83
94,419.79,9594.47
95,421.79,9592.53
96,423.79,9626.83
97,425.79,9637.2
98,427.79,9643.87
99,429.79,9665.3
100,431.78,9652.33
101,433.78,9620.47
102,435.77,9655.4
103,437.77,9671.67
104,439.76,9701.17
105,441.75,9748.57
106,443.74,9761.37
107,445.73,9728.53
108,447.72,9715.73
109,449.71,9778.93
110,451.7,9793.73
111,453.68,9811.83
112,455.67,9842.23
113,457.65,9827.17
114,459.64,9866
115,461.62,9896.57
116,463.6,9889.9
117,465.58,9901.9
118,467.56,9936.93
119,469.54,9993.8
120,471.52,10000.9
121,473.49,10024.03
122,475.47,10087.1
123,477.44,10108.83
124,479.42,10100.07
125,481.39,10128.33
126,483.36,10131.83
127,485.34,10128.87
128,487.31,10052.57
129,489.28,10046.5
130,491.24,10007.6
131,493.21,9944.77
132,495.18,9888.83
133,497.14,9791.57
134,499.11,9735.57
135,501.07,9693.17
136,503.04,9591.47
137,505,9544.1
138,506.96,9543.63
139,508.92,9521.37
140,510.88,9487.87
141,512.84,9457.37
142,514.79,9485.77
143,516.75,9500.13
144,518.71,9503.07
145,520.66,9509.03
146,522.62,9490.6
147,524.57,9423.33
148,526.52,9438.93
149,528.47,9420.5
150,530.42,9414.8
151,532.37,9473.87
152,534.32,9478.13
153,536.27,9477.8
154,538.21,9458.7
155,540.16,9465.37
156,542.1,9435.27
157,544.04,9399
158,545.99,9365.47
159,547.93,9310.43
160,549.87,9261.17
161,551.81,9199.93
162,553.75,9156.87
163,555.69,9121.13
164,557.62,9123.3
165,559.56,9128.03
166,561.49,9072.5
167,563.43,9088.23
168,565.36,9074.47
169,567.29,9063.47
170,569.23,9033.5
171,571.16,9033.63
172,573.09,9033.3
173,575.01,8985.03
174,576.94,8956.73
175,578.87,8936.6
176,580.79,8969.83
177,582.72,8959.03
178,584.64,9005.43
179,586.57,8982.1
180,588.49,8990.33
181,590.41,9004.33
182,592.33,9042.43
183,594.25,9112.1
184,596.17,9132.63
185,598.08,9191.13
186,600,9211.3
187,601.92,9283.93
188,603.83,9349.13
189,605.74,9426.33
190,607.66,9494.63
191,609.57,9616.63
192,611.48,9710.03
193,613.39,9758.33
194,615.3,9847.33
195,617.21,9969
196,619.11,10058.03
197,621.02,10131.77
198,622.92,10262.13
199,624.83,10279.9
200,626.73,10269.43
201,628.63,10349.9
202,630.53,10389.27
203,632.44,10452.97
204,634.33,10513.4
205,636.23,10593.93
206,638.13,10689.57
207,640.03,10768.53
208,641.92,10976.97
209,643.82,11012.8
210,645.71,11056.37
211,647.61,11130.07
212,649.5,11215.77
213,651.39,11285.17
214,653.28,11405.9
215,655.17,11484.4
216,657.06,11573.8
217,658.94,11654.9
218,660.83,11796.43
219,662.72,11854.67
220,664.6,11937.73
221,666.48,12043.4
222,668.37,12126.5
223,670.25,12193.93
224,672.13,12249.87
225,674.01,12296.63
226,675.89,12338.13
227,677.77,12365.47
228,679.64,12431.03
229,681.52,12465.63
230,683.39,12445
231,685.27,12503.87
232,687.14,12493.83
233,689.01,12495.5
234,690.88,12530
235,692.76,12545.27
236,694.62,12542.27
237,696.49,12548.63
238,698.36,12576.1
239,700.23,12530.5
240,702.09,12556.03
241,703.96,12515.2
242,705.82,12507.53
243,707.68,12491.27
244,709.55,12463.37
245,711.41,12391.43
246,713.27,12340.4
247,715.13,12308.37
248,716.99,12254.97
249,718.84,12228.1
250,720.7,12189.23
251,722.55,12199.27
252,724.41,12161.53
253,726.26,12183.73
254,728.11,12211.13
255,729.97,12262.97
256,731.82,12317.73
257,733.67,12380.8
258,735.52,12408.6
259,737.36,12352.3
260,739.21,12245.5
261,741.06,12159.33
262,742.9,12041.07
263,744.75,11929.7
264,746.59,11890.73
265,748.43,11821.83
266,750.27,11773.07
267,752.11,11738.93
268,753.95,11697.7
269,755.79,11695.27
270,757.63,11657.3
271,759.46,11643.4
272,761.3,11579.37
273,763.13,11530.3
274,764.97,11546.6
275,766.8,11510.87
276,768.63,11491.43
277,770.46,11504
278,772.29,11453.17
279,774.12,11437.13
280,775.95,11412.43
281,777.78,11426.47
282,779.6,11440.4
283,781.43,11425.6
284,783.25,11416
285,785.08,11422.87
286,786.9,11379.87
287,788.72,11405.97
288,790.54,11373.07
289,792.36,11353.1
290,794.18,11363.23
291,796,11344
292,797.81,11311.43
293,799.63,11314.4
294,801.44,11295.23
295,803.26,11332.5
296,805.07,11352.83
297,806.88,11420.63
298,808.69,11499.13
299,810.5,11543.73
300,812.31,11629.3
301,814.12,11675.1
302,815.93,11745.8
303,817.74,11742.87
304,819.54,11736.73
305,821.35,11687.2
306,823.15,11608.23
307,824.95,11577.37
308,826.75,11588.23
309,828.55,11531.47
310,830.35,11530.83
311,832.15,11490.77
312,833.95,11490.23
313,835.75,11483.7
314,837.54,11512.9
315,839.34,11540.5
316,841.13,11591.83
317,842.92,11636.03
318,844.72,11686.17
319,846.51,11723.9
320,848.3,11772.2
321,850.09,11766.6
322,851.88,11792.47
323,853.66,11770.83
324,855.45,11710.27
325,857.24,11621.83
326,859.02,11492.9
327,860.8,11429.63
328,862.59,11363.97
329,864.37,11272.33
330,866.15,11197.3
331,867.93,11123.4
332,869.71,11026.87
333,871.49,10906.5
334,873.26,10835.17
335,875.04,10783.03
336,876.81,10658.43
337,878.59,10616.37
338,880.36,10545.73
339,882.13,10421.27
340,883.9,10389.73
341,885.68,10350.87
342,887.44,10300.03
343,889.21,10284.43
344,890.98,10233.1
345,892.75,10180.23
346,894.51,10112.53
347,896.28,10114.77
348,898.04,10085.53
349,899.8,10037.1
350,901.57,10050.73
351,903.33,9985.7
352,905.09,9942.03
353,906.85,9962.93
354,908.6,9946.6
355,910.36,9941.6
356,912.12,9937.03
357,913.87,9946.7
358,915.63,9941.83
359,917.38,9907.37
360,919.13,9910.1
361,920.88,9925.47
362,922.63,9944.03
363,924.38,9965.47
364,926.13,9958.17
365,927.88,9949.07
366,929.63,9935.3
367,931.37,9966.23
368,933.12,9958.9
369,934.86,9916.33
370,936.6,9913.43
371,938.35,9873.23
372,940.09,9855.93
373,941.83,9811
374,943.57,9810.6
375,945.3,9774.6
376,947.04,9765.77
377,948.78,9748.83
378,950.51,9703.23
379,952.25,9711.1
380,953.98,9667.23
381,955.71,9651.5
382,957.44,9606.83
383,959.17,9624.2
384,960.9,9567.77
385,962.63,9571.3
386,964.36,9509.57
387,966.09,9517.37
388,967.81,9476.43
389,969.54,9453.17
390,971.26,9439.8
391,972.98,9406.6
392,974.71,9374.07
393,976.43,9377.1
394,978.15,9315.27
395,979.87,9308.63
396,981.58,9307.53
397,983.3,9285.07
398,985.02,9254.87
399,986.73,9206.93
400,988.45,9250.93
401,990.16,9288.43
402,991.87,9336.33
403,993.59,9516.37
404,995.3,9765.7
405,997.01,10072.13
406,998.71,10397.07
407,1000.42,10620.93
408,1002.13,10609.7
409,1003.83,10427.97
410,1005.54,10095.83
411,1007.24,9688.1
412,1008.95,9378.7
413,1010.65,9132.27
414,1012.35,8982.5
415,1014.05,8866.13
416,1015.75,8868.4
417,1017.45,8837.73
418,1019.14,8815.5
419,1020.84,8833.5
420,1022.54,8880.7
421,1024.23,8905.03
422,1025.92,8971.2
423,1027.62,8958.77
424,1029.31,8932.97
425,1031,8904.03
426,1032.69,8891.03
427,1034.38,8858.9
428,1036.06,8850.93
429,1037.75,8860
430,1039.44,8841.23
431,1041.12,8879.93
432,1042.81,8882.97
433,1044.49,8898.43
434,1046.17,8920.4
435,1047.85,8887.3
436,1049.53,8876.83
437,1051.21,8837.9
438,1052.89,8806.9
439,1054.57,8768.8
440,1056.24,8720.6
441,1057.92,8679.17
442,1059.59,8596.17
443,1061.27,8591.3
444,1062.94,8492.2
445,1064.61,8412.23
446,1066.28,8331.37
447,1067.95,8239.6
448,1069.62,8173.73
449,1071.29,8103.07
450,1072.95,8069.83
451,1074.62,7983.23
452,1076.29,7943.33
453,1077.95,7937.47
454,1079.61,7904.9
455,1081.27,7873.83
456,1082.94,7867.1
457,1084.6,7799.27
458,1086.26,7770.53
459,1087.91,7742.87
460,1089.57,7708.53
461,1091.23,7695.9
462,1092.88,7668.47
463,1094.54,7645.77
464,1096.19,7581.07
465,1097.84,7536.83
466,1099.49,7508.5
467,1101.15,7509.93
468,1102.79,7488.2
469,1104.44,7524.23
470,1106.09,7501
471,1107.74,7506.83
472,1109.38,7486.43
473,1111.03,7505
474,1112.67,7505.9
475,1114.32,7503.17
476,1115.96,7491.37
477,1117.6,7435.53
478,1119.24,7417.53
479,1120.88,7407.1
480,1122.52,7361.57
481,1124.15,7347.13
482,1125.79,7303.7
483,1127.43,7268.93
484,1129.06,7226.57
485,1130.69,7183.27
486,1132.33,7141.6
487,1133.96,7126.63
488,1135.59,7078.13
489,1137.22,7053.27
490,1138.85,6984.23
491,1140.47,6944.67
492,1142.1,6931.33
493,1143.73,6919.47
494,1145.35,6887.5
495,1146.98,6886.33
496,1148.6,6885.53
497,1150.22,6859.93
498,1151.84,6845.07
499,1153.46,6871
500,1155.08,6849.2
501,1156.7,6856.6
502,1158.32,6834.97
503,1159.93,6841.6
504,1161.55,6803.63
505,1163.16,6791.7
506,1164.78,6823.93
507,1166.39,6836.17
508,1168,6822.93
509,1169.61,6841.23
510,1171.22,6803.17
511,1172.83,6765.13
512,1174.44,6750.27
513,1176.04,6704.87
514,1177.65,6649.33
515,1179.26,6637.1
516,1180.86,6622.8
517,1182.46,6584.8
518,1184.06,6542.37
519,1185.67,6510.43
520,1187.27,6529.77
521,1188.86,6501.23
